Label,Estimate,SE
 Initial period wage,0.4909,0.003626
Wage,0.4643,0.001333
Hours,590.7,2.156
Asset,2623.5,178.5
Asset,948.8,11.98

\begin{aligned}
&\mathrm{a}  \\
&{ }^{\mathrm{a}}  \\
&{ }^{\mathrm{c}}  \\
&{ }^{\mathrm{d}}  \\
&{ }^{\mathrm{e}} 
\end{aligned}
